indicator_id,YearStart,YearEnd,LocationDesc,Topic,Question,DataValueUnit,DataValue
7277,2016,2016,United States,Overarching Conditions,Recent activity limitation among adults aged >= 18 years,Number,2.3
3673,2018,2018,Maine,Chronic Obstructive Pulmonary Disease,Prevalence of chronic obstructive pulmonary disease among adults >= 18,%,7.7
1268,2015,2015,Wisconsin,Asthma,Current asthma prevalence among adults aged >= 18 years,%,23.8
4317,2014,2014,Texas,Asthma,Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years with asthma,%,
803,2014,2014,Arizona,Overarching Conditions,Current health care coverage among women aged 18-44 years,%,67.8
1272,2018,2018,Nevada,"Nutrition, Physical Activity, and Weight Status",Healthy weight among adults aged >= 18 years,%,19.3
7129,2011,2011,Wyoming,Diabetes,Influenza vaccination among noninstitutionalized adults aged 18-64 years with diagnosed diabetes,%,27.8
7811,2009,2013,Connecticut,Cancer,"Cancer of the female cervix, mortality","per 100,000",2.1
6008,2009,2013,Arizona,Cancer,"Invasive cancer (all sites combined), mortality","per 100,000",176.1
783,2014,2014,Wyoming,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,15.5
3342,2017,2017,Puerto Rico,Chronic Obstructive Pulmonary Disease,Prevalence of chronic obstructive pulmonary disease among adults >= 18,%,
2023,2014,2014,Washington,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,4.4
5927,2017,2017,Delaware,Overarching Conditions,Recent physically unhealthy days among adults aged >= 18 years,Number,3.1
3136,2015,2015,Indiana,Cancer,Recent Papanicolaou smear use among women aged 21-44 years,%,
9795,2010,2010,Tennessee,Chronic Obstructive Pulmonary Disease,Hospitalization for chronic obstructive pulmonary disease as first-listed diagnosis among Medicare-eligible persons aged >= 65 years,"cases per 1,000",
7005,2017,2017,North Carolina,Cardiovascular Disease,Mortality from cerebrovascular disease (stroke),"cases per 100,000",58.3
8342,2014,2014,Delaware,Cancer,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",%,70.7
4052,2011,2011,North Dakota,Cardiovascular Disease,Mortality from heart failure,,31
4910,2014,2014,North Dakota,Chronic Obstructive Pulmonary Disease,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,"cases per 100,000",
4206,2012,2016,Wisconsin,Cancer,"Invasive melanoma, incidence",,
5383,2014,2014,Utah,Diabetes,Foot examination among adults aged >= 18 years with diagnosed diabetes,%,
5216,2011,2011,New Hampshire,Diabetes,Adults with diagnosed diabetes aged >= 18 years who have taken a diabetes self-management course,%,
127,2015,2015,New Mexico,Arthritis,Physical inactivity among adults aged >= 18 years with arthritis,%,26.3
9169,2014,2014,Montana,Chronic Obstructive Pulmonary Disease,Pneumococcal vaccination among noninstitutionalized adults aged >= 45 years with chronic obstructive pulmonary disease,%,59.8
9964,2017,2017,Utah,Tobacco,Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years who smoke,%,
4851,2009,2013,North Dakota,Cancer,"Cancer of the prostate, mortality",,70
3805,2010,2014,West Virginia,Cancer,"Cancer of the female breast, mortality",,279
9639,2011,2011,Guam,Cardiovascular Disease,Taking medicine for high blood pressure control among adults aged >= 18 years with high blood pressure,%,62.9
4999,2014,2014,Idaho,Diabetes,Influenza vaccination among noninstitutionalized adults aged 18-64 years with diagnosed diabetes,%,
747,2010,2010,California,Chronic Obstructive Pulmonary Disease,Hospitalization for chronic obstructive pulmonary disease as first-listed diagnosis among Medicare-eligible persons aged >= 65 years,"cases per 1,000",10.24
3018,2014,2014,North Carolina,Arthritis,Arthritis among adults aged >= 18 years who have diabetes,%,39.6
6954,2010,2010,Missouri,Overarching Conditions,Poverty,%,
8003,2018,2018,Virgin Islands,Older Adults,Proportion of older adults aged >= 65 years who are up to date on a core set of clinical preventive services,%,
776,2013,2013,Iowa,Alcohol,Alcohol use before pregnancy,%,43.5
1336,2018,2018,Nebraska,Oral Health,No tooth loss among adults aged 18-64 years,%,69.9
5021,2010,2010,Colorado,Older Adults,Prevalence of 2 or more chronic conditions among Medicare-enrolled persons aged >= 65 years,%,57.8
446,2017,2017,West Virginia,"Nutrition, Physical Activity, and Weight Status",Overweight or obesity among adults aged >= 18 years,%,65.8
9610,2010,2014,New York,Cancer,"Cancer of the colon and rectum (colorectal), incidence",,6853
106,2014,2014,Virgin Islands,Alcohol,Local authority to regulate alcohol outlet density,,
8045,2014,2014,Kentucky,Overarching Conditions,Premature mortality among adults aged 45-64 years,"cases per 100,000",808.5
9947,2014,2014,Rhode Island,Asthma,Influenza vaccination among noninstitutionalized adults aged 18-64 years with asthma,%,51.6
6994,2015,2015,Illinois,Diabetes,Prevalence of depressive disorders among adults aged >= 18 years with diagnosed diabetes,%,27.1
9295,2015,2015,Kentucky,Asthma,Influenza vaccination among noninstitutionalized adults aged 18-64 years with asthma,%,
7705,2013,2013,Pennsylvania,Chronic Obstructive Pulmonary Disease,Prevalence of chronic obstructive pulmonary disease among adults >= 45 years,%,12.6
4844,2016,2016,Mississippi,Diabetes,Influenza vaccination among noninstitutionalized adults aged >= 65 years with diagnosed diabetes,%,
2425,2018,2018,Nevada,Oral Health,No tooth loss among adults aged 18-64 years,%,64.8
9678,2012,2012,Indiana,Alcohol,Chronic liver disease mortality,,241
6336,2010,2014,Tennessee,Cancer,"Cancer of the prostate, mortality","per 100,000",
2771,2012,2012,New Hampshire,Overarching Conditions,Fair or poor self-rated health status among adults aged >= 18 years,%,17.0
5230,2011,2011,California,Overarching Conditions,Premature mortality among adults aged 45-64 years,"cases per 100,000",540.4
8324,2014,2014,South Dakota,Diabetes,Foot examination among adults aged >= 18 years with diagnosed diabetes,%,71.5
7533,2011,2015,California,Cancer,"Invasive cancer of the cervix, incidence",,566
832,2014,2014,Montana,Immunization,Influenza vaccination among noninstitutionalized adults aged >= 18 years,%,40.3
9251,2011,2015,Nebraska,Cancer,"Invasive melanoma, incidence","per 100,000",
9505,2017,2017,Indiana,Cardiovascular Disease,Awareness of high blood pressure among adults aged >= 18 years,%,41.5
6675,2017,2017,Maryland,Tobacco,Current smoking among adults aged >= 18 years,%,15.2
5231,2015,2015,Georgia,Cardiovascular Disease,Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years with a history of coronary heart disease,%,78.4
5640,2011,2011,Pennsylvania,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,%,28.6
9223,2013,2013,Montana,"Nutrition, Physical Activity, and Weight Status",Obesity among high school students,%,11.7
2133,2018,2018,Oklahoma,Chronic Obstructive Pulmonary Disease,Influenza vaccination among noninstitutionalized adults aged >= 45 years with chronic obstructive pulmonary disease,%,
5907,2011,2011,Ohio,Asthma,Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years with asthma,%,
7609,2015,2015,Kansas,"Nutrition, Physical Activity, and Weight Status",Overweight or obesity among adults aged >= 18 years,%,79.1
270,2012,2012,West Virginia,Tobacco,Current smokeless tobacco use among adults aged >= 18 years,%,8.8
1068,2010,2014,Iowa,Cancer,"Cancer of the lung and bronchus, mortality","per 100,000",48.2
7719,2011,2011,Tennessee,Diabetes,Mortality due to diabetes reported as any listed cause of death,"cases per 100,000",7.9
5887,2011,2011,Washington,Diabetes,Influenza vaccination among noninstitutionalized adults aged 18-64 years with diagnosed diabetes,%,48.9
734,2015,2015,New Mexico,Tobacco,Current cigarette smoking among women aged 18-44 years,%,
6279,2017,2017,Delaware,Tobacco,Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years who smoke,%,
7594,2014,2014,Indiana,Chronic Obstructive Pulmonary Disease,Prevalence of current smoking among adults >= 18 with diagnosed chronic obstructive pulmonary disease,%,51.1
5638,2016,2016,North Dakota,Overarching Conditions,Self-rated health status among women aged 18-44 years,%,
5280,2013,2013,Tennessee,Asthma,Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years with asthma,%,
6410,2011,2011,Florida,Cardiovascular Disease,Mortality from coronary heart disease,,12300
7714,2015,2015,Nevada,Cancer,Mammography use among women aged 50-74 years,%,
1299,2017,2017,Louisiana,Cardiovascular Disease,Mortality from coronary heart disease,"cases per 100,000",106.6
3416,2018,2018,North Dakota,Cardiovascular Disease,Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years with a history of coronary heart disease,%,
2071,2010,2010,Alabama,Chronic Obstructive Pulmonary Disease,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,"cases per 100,000",244.9
6291,2011,2011,Iowa,Diabetes,Adults with diagnosed diabetes aged >= 18 years who have taken a diabetes self-management course,%,63.2
6356,2017,2017,Oklahoma,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,%,40.5
7501,2010,2010,Massachusetts,Diabetes,Amputation of a lower extremity attributable to diabetes,"cases per 10,000",3.23
5253,2012,2012,Virginia,Cardiovascular Disease,Mortality from diseases of the heart,"cases per 100,000",
8027,2008,2012,North Carolina,Cancer,"Cancer of the female breast, mortality",,929
3602,2014,2014,Hawaii,Arthritis,Arthritis among adults aged >= 18 years who have diabetes,%,41.1
2645,2012,2012,North Carolina,Older Adults,Hospitalization for hip fracture among Medicare-eligible persons aged >= 65 years,"cases per 1,000",6.39
8073,2017,2017,Kentucky,Reproductive Health,Timeliness of routine health care checkup among women aged 18-44 years,%,69.6
1373,2013,2013,North Dakota,Diabetes,Mortality due to diabetes reported as any listed cause of death,"cases per 100,000",85.8
6946,2013,2013,Illinois,Diabetes,Foot examination among adults aged >= 18 years with diagnosed diabetes,%,
7019,2012,2012,Texas,Diabetes,Prevalence of diagnosed diabetes among adults aged >= 18 years,%,11.6
3203,2017,2017,Missouri,"Nutrition, Physical Activity, and Weight Status",Healthy weight among adults aged >= 18 years,%,28.3
5054,2008,2012,Alabama,Cancer,"Cancer of the lung and bronchus, incidence","per 100,000",54.5
3585,2016,2016,Illinois,Diabetes,Prevalence of diagnosed diabetes among adults aged >= 18 years,%,12.8
2417,2016,2016,Iowa,Chronic Kidney Disease,Mortality with end-stage renal disease,"cases per 100,000",75.4
2333,2012,2012,Kentucky,Chronic Obstructive Pulmonary Disease,Prevalence of chronic obstructive pulmonary disease among adults >= 45 years,%,15.8
1152,2016,2016,Wyoming,Chronic Obstructive Pulmonary Disease,Hospitalization for chronic obstructive pulmonary disease as first-listed diagnosis among Medicare-eligible persons aged >= 65 years,,
6263,2016,2016,Georgia,Arthritis,Arthritis among adults aged >= 18 years,%,23.4
6303,2010,2014,South Dakota,Cancer,"Invasive cancer (all sites combined), incidence","per 100,000",293.9
1260,2015,2015,Kansas,"Nutrition, Physical Activity, and Weight Status",Overweight or obesity among women aged 18-44 years,%,36.6
7906,2014,2014,Oregon,"Nutrition, Physical Activity, and Weight Status",Secondary schools that offer less healthy foods as competitive foods,%,53.5
4899,2014,2014,United States,Arthritis,Arthritis among adults aged >= 18 years who are obese,%,40.4
5866,2013,2013,Minnesota,Overarching Conditions,Current lack of health insurance among adults aged 18-64 years,%,10.4
5706,2015,2015,Georgia,Cardiovascular Disease,Awareness of high blood pressure among adults aged >= 18 years,%,35.3
404,2010,2014,Colorado,Cancer,"Invasive melanoma, incidence","per 100,000",36.9
626,2011,2011,Puerto Rico,Cardiovascular Disease,Influenza vaccination among noninstitutionalized adults aged >= 65 years with a history of coronary heart disease or stroke,%,38.2
2402,2015,2015,Florida,Chronic Obstructive Pulmonary Disease,Hospitalization for chronic obstructive pulmonary disease as any diagnosis among Medicare-eligible persons aged >= 65 years,"cases per 1,000",133.77
4246,2016,2016,Vermont,Asthma,Asthma mortality rate,,
6107,2017,2017,Guam,Diabetes,Adults with diagnosed diabetes aged >= 18 years who have taken a diabetes self-management course,%,
2983,2008,2012,South Carolina,Cancer,"Cancer of the colon and rectum (colorectal), incidence","per 100,000",10.5
19,2011,2011,North Dakota,Cardiovascular Disease,Mortality from diseases of the heart,,1290
3757,2013,2013,New York,Chronic Obstructive Pulmonary Disease,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,"cases per 100,000",30.3
645,2013,2013,Missouri,Alcohol,Alcohol use before pregnancy,%,41.7
4487,2017,2017,Rhode Island,Chronic Obstructive Pulmonary Disease,Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years,"cases per 100,000",83.4
9153,2017,2017,Louisiana,Asthma,Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years with asthma,%,
3605,2011,2011,Minnesota,Chronic Obstructive Pulmonary Disease,Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years,"cases per 100,000",102.0
5433,2013,2013,Indiana,Arthritis,Arthritis among adults aged >= 18 years who have diabetes,%,48.3
9061,2011,2015,Utah,Cancer,"Invasive melanoma, incidence",,
9891,2013,2013,Delaware,"Nutrition, Physical Activity, and Weight Status",Television viewing among high school students,%,45.9
2464,2011,2011,New York,Diabetes,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,%,77.7
6979,2012,2012,Iowa,Cardiovascular Disease,Mortality from heart failure,"cases per 100,000",
7128,2015,2015,Virgin Islands,Chronic Obstructive Pulmonary Disease,Prevalence of activity limitation among adults >= 18 with diagnosed chronic obstructive pulmonary disease,%,
78,2012,2012,Florida,Older Adults,Hospitalization for hip fracture among Medicare-eligible persons aged >= 65 years,,761
796,2014,2014,Utah,Chronic Obstructive Pulmonary Disease,Hospitalization for chronic obstructive pulmonary disease as any diagnosis among Medicare-eligible persons aged >= 65 years,"cases per 1,000",36.16
2655,2013,2013,Arkansas,Cardiovascular Disease,Cholesterol screening among adults aged >= 18 years,%,65.9
1365,2011,2011,Wyoming,Chronic Obstructive Pulmonary Disease,Hospitalization for chronic obstructive pulmonary disease as first-listed diagnosis among Medicare-eligible persons aged >= 65 years,"cases per 1,000",7.92
6267,2013,2013,California,Arthritis,Fair or poor health among adults aged >= 18 years with arthritis,%,30.4
5349,2013,2013,Maine,Diabetes,Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years with diagnosed diabetes,%,78.6
7643,2018,2018,New York,Immunization,Influenza vaccination among noninstitutionalized adults aged >= 18 years,%,30.5
2515,2013,2013,Georgia,Overarching Conditions,Fair or poor self-rated health status among adults aged >= 18 years,%,16.4
1768,2013,2013,Kansas,Chronic Obstructive Pulmonary Disease,Hospitalization for chronic obstructive pulmonary disease as any diagnosis among Medicare-eligible persons aged >= 65 years,"cases per 1,000",84.33
5249,2015,2015,Michigan,Arthritis,Work limitation due to arthritis among adults aged 18-64 years who have doctor-diagnosed arthritis,%,44.7
4362,2012,2012,Vermont,Diabetes,Influenza vaccination among noninstitutionalized adults aged 18-64 years with diagnosed diabetes,%,
4425,2017,2017,Idaho,Overarching Conditions,High school completion among adults aged 18-24 years,%,87.3
9992,2010,2014,Delaware,Cancer,"Melanoma, mortality",,19
9233,2012,2012,Michigan,Diabetes,Dilated eye examination among adults aged >= 18 years with diagnosed diabetes,%,
8490,2016,2016,Iowa,Diabetes,Prevalence of diagnosed diabetes among adults aged >= 18 years,%,8.3
4628,2016,2016,Alabama,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,7.0
1896,2014,2014,Georgia,Diabetes,Prevalence of depressive disorders among adults aged >= 18 years with diagnosed diabetes,%,
3904,2017,2017,Ohio,"Nutrition, Physical Activity, and Weight Status",Healthy weight among high school students,%,
619,2011,2015,Pennsylvania,Cancer,"Cancer of the lung and bronchus, mortality",,4140
718,2012,2012,Wisconsin,Cardiovascular Disease,Mortality from total cardiovascular diseases,,644
916,2012,2012,Indiana,Asthma,Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years with asthma,%,89.9
896,2013,2013,South Dakota,Diabetes,Glycosylated hemoglobin measurement among adults aged >= 18 years with diagnosed diabetes,%,
8544,2011,2015,Wisconsin,Cancer,"Cancer of the female breast, mortality",,4
8739,2014,2014,North Dakota,Cardiovascular Disease,Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years with a history of coronary heart disease,%,55.7
8869,2014,2014,Massachusetts,Chronic Obstructive Pulmonary Disease,Emergency department visit rate for chronic obstructive pulmonary disease as any diagnosis,,
70,2011,2011,North Dakota,Chronic Kidney Disease,Mortality with end-stage renal disease,"cases per 100,000",
9946,2012,2012,Colorado,Chronic Obstructive Pulmonary Disease,Hospitalization for chronic obstructive pulmonary disease as any diagnosis among Medicare-eligible persons aged >= 65 years,"cases per 1,000",34.62
2969,2017,2017,Oregon,Chronic Obstructive Pulmonary Disease,Hospitalization for chronic obstructive pulmonary disease as first-listed diagnosis among Medicare-eligible persons aged >= 65 years,"cases per 1,000",8.43
4445,2016,2016,Idaho,Tobacco,Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years who smoke,%,
6162,2010,2010,Kentucky,Chronic Obstructive Pulmonary Disease,Hospitalization for chronic obstructive pulmonary disease as any diagnosis among Medicare-eligible persons aged >= 65 years,"cases per 1,000",108.43
1328,2011,2011,Georgia,Chronic Kidney Disease,Incidence of treated end-stage renal disease attributed to diabetes,"cases per 1,000,000",1682
2154,2017,2017,Alaska,Alcohol,Heavy drinking among adults aged >= 18 years,%,
8896,2018,2018,Rhode Island,"Nutrition, Physical Activity, and Weight Status",Overweight or obesity among women aged 18-44 years,%,
1241,2016,2016,North Dakota,Diabetes,Mortality due to diabetes reported as any listed cause of death,"cases per 100,000",
9661,2018,2018,Hawaii,Arthritis,Fair or poor health among adults aged >= 18 years with arthritis,%,20.0
3262,2017,2017,Louisiana,Overarching Conditions,Premature mortality among adults aged 45-64 years,"cases per 100,000",1103.
4412,2014,2014,Ohio,Diabetes,Glycosylated hemoglobin measurement among adults aged >= 18 years with diagnosed diabetes,%,
5752,2017,2017,Ohio,Tobacco,Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years who smoke,%,
2109,2018,2018,Michigan,Arthritis,Arthritis among adults aged >= 18 years who have heart disease,%,
1103,2014,2014,Massachusetts,Alcohol,Binge drinking frequency among adults aged >= 18 years who binge drink,Number,
1578,2011,2011,Hawaii,Asthma,Asthma mortality rate,"cases per 1,000,000",
4968,2011,2015,District of Columbia,Cancer,"Invasive cancer of the oral cavity or pharynx, incidence","per 100,000",6.6
5276,2016,2016,Delaware,Alcohol,Binge drinking frequency among adults aged >= 18 years who binge drink,Number,4.6
2119,2014,2014,Texas,Diabetes,Adults with diagnosed diabetes aged >= 18 years who have taken a diabetes self-management course,%,
4377,2015,2015,Oklahoma,Chronic Obstructive Pulmonary Disease,Emergency department visit rate for chronic obstructive pulmonary disease as any diagnosis,"cases per 10,000",
7363,2011,2011,Kansas,"Nutrition, Physical Activity, and Weight Status",Healthy weight among adults aged >= 18 years,%,39.7
4779,2011,2011,Connecticut,Chronic Obstructive Pulmonary Disease,Hospitalization for chronic obstructive pulmonary disease as any diagnosis among Medicare-eligible persons aged >= 65 years,"cases per 1,000",78.50
8130,2011,2011,Wisconsin,Diabetes,Prevalence of depressive disorders among adults aged >= 18 years with diagnosed diabetes,%,21.2
2463,2014,2014,Maryland,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,%,26.2
291,2010,2010,Hawaii,Cardiovascular Disease,Mortality from cerebrovascular disease (stroke),"cases per 100,000",
1974,2018,2018,Arkansas,"Nutrition, Physical Activity, and Weight Status",Overweight or obesity among adults aged >= 18 years,%,70.5
3241,2014,2014,New Jersey,Chronic Obstructive Pulmonary Disease,Hospitalization for chronic obstructive pulmonary disease as first-listed diagnosis,"cases per 10,000",41.96
7742,2012,2012,Kentucky,Chronic Obstructive Pulmonary Disease,Prevalence of chronic obstructive pulmonary disease among adults >= 18,%,9.7
4630,2016,2016,Delaware,Cardiovascular Disease,Influenza vaccination among noninstitutionalized adults aged >= 65 years with a history of coronary heart disease or stroke,%,
9118,2012,2012,Wyoming,Diabetes,Prevalence of depressive disorders among adults aged >= 18 years with diagnosed diabetes,%,
7414,2015,2015,Arkansas,Diabetes,Mortality due to diabetes reported as any listed cause of death,"cases per 100,000",11.7
3092,2016,2016,New Hampshire,Arthritis,Arthritis among adults aged >= 18 years,%,
4599,2016,2016,Puerto Rico,Chronic Obstructive Pulmonary Disease,Influenza vaccination among noninstitutionalized adults aged >= 45 years with chronic obstructive pulmonary disease,%,34.7
9483,2013,2013,West Virginia,Cardiovascular Disease,Awareness of high blood pressure among adults aged >= 18 years,%,39.3
3553,2013,2013,Missouri,Chronic Obstructive Pulmonary Disease,Prevalence of current smoking among adults >= 45 years with diagnosed chronic obstructive pulmonary disease,%,42.5
8648,2013,2013,Pennsylvania,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,4.1
2607,2013,2013,Virgin Islands,Overarching Conditions,Current lack of health insurance among adults aged 18-64 years,%,
3064,2017,2017,Arkansas,Chronic Obstructive Pulmonary Disease,Prevalence of current smoking among adults >= 45 years with diagnosed chronic obstructive pulmonary disease,%,
7675,2009,2013,Delaware,Cancer,"Invasive cancer of the oral cavity or pharynx, incidence","per 100,000",
2033,2015,2015,Pennsylvania,Diabetes,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,%,66.9
9289,2014,2014,Alaska,Tobacco,Current smokeless tobacco use among adults aged >= 18 years,%,9.4
8954,2014,2014,Florida,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,16.5
457,2014,2014,Massachusetts,Alcohol,Binge drinking prevalence among adults aged >= 18 years,%,17.4
5342,2018,2018,Alabama,Overarching Conditions,Current lack of health insurance among adults aged 18-64 years,%,13.7
7322,2018,2018,United States,Cardiovascular Disease,Influenza vaccination among noninstitutionalized adults aged >= 65 years with a history of coronary heart disease or stroke,%,57.9
2946,2015,2015,Alaska,Asthma,Asthma mortality rate,"cases per 1,000,000",
3004,2013,2013,Indiana,Asthma,Asthma mortality rate,,
2886,2016,2016,Alaska,Chronic Obstructive Pulmonary Disease,Prevalence of current smoking among adults >= 45 years with diagnosed chronic obstructive pulmonary disease,%,
6964,2014,2014,Indiana,Diabetes,Mortality due to diabetes reported as any listed cause of death,"cases per 100,000",90.8
1042,2012,2016,Nebraska,Cancer,"Cancer of the female breast, mortality","per 100,000",
4259,2017,2017,Kentucky,"Nutrition, Physical Activity, and Weight Status",Median daily frequency of vegetable consumption among adults aged >= 18 years,Number,1.7
1137,2018,2018,New Jersey,Diabetes,Influenza vaccination among noninstitutionalized adults aged 18-64 years with diagnosed diabetes,%,55.1
2660,2012,2016,West Virginia,Cancer,"Cancer of the oral cavity and pharynx, mortality","per 100,000",
3400,2017,2017,Kansas,Tobacco,Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years who smoke,%,28.8
9072,2011,2011,Ohio,Alcohol,Binge drinking frequency among adults aged >= 18 years who binge drink,Number,
8232,2011,2011,South Dakota,Chronic Obstructive Pulmonary Disease,Prevalence of chronic obstructive pulmonary disease among adults >= 18,%,
6139,2015,2015,Connecticut,Asthma,Asthma mortality rate,,34
943,2011,2011,Washington,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,Number,4.5
4420,2013,2013,Maine,"Nutrition, Physical Activity, and Weight Status",Overweight or obesity among adults aged >= 18 years,%,
6009,2018,2018,New Hampshire,Oral Health,No tooth loss among adults aged 18-64 years,%,66.9
9712,2015,2015,California,Alcohol,Binge drinking frequency among adults aged >= 18 years who binge drink,Number,3.7
3369,2009,2013,Nebraska,Cancer,"Melanoma, mortality",,
3469,2013,2013,Florida,Asthma,Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years with asthma,%,20.7
5513,2018,2018,Oregon,Overarching Conditions,Recent physically unhealthy days among adults aged >= 18 years,Number,4.8
5759,2014,2014,Indiana,Cardiovascular Disease,Hospitalization for stroke,,
499,2013,2013,Georgia,Chronic Obstructive Pulmonary Disease,Hospitalization for chronic obstructive pulmonary disease as first-listed diagnosis among Medicare-eligible persons aged >= 65 years,"cases per 1,000",14.35
3143,2011,2011,Hawaii,Arthritis,Adults aged >= 18 years with arthritis who have taken a class to learn how to manage arthritis symptoms,%,
2155,2015,2015,South Dakota,Diabetes,Prevalence of diagnosed diabetes among adults aged >= 18 years,%,9.6
5405,2013,2013,Oregon,Cardiovascular Disease,Mortality from coronary heart disease,"cases per 100,000",71.5
6727,2014,2014,New Jersey,Diabetes,Amputation of a lower extremity attributable to diabetes,"cases per 10,000",0.52
6874,2015,2015,Vermont,Chronic Obstructive Pulmonary Disease,Hospitalization for chronic obstructive pulmonary disease as any diagnosis,"cases per 10,000",
648,2013,2013,Wisconsin,Alcohol,Chronic liver disease mortality,"cases per 100,000",
1196,2015,2015,District of Columbia,Overarching Conditions,Recent activity limitation among adults aged >= 18 years,Number,1.9
990,2014,2014,Ohio,Diabetes,Adults with diagnosed diabetes aged >= 18 years who have taken a diabetes self-management course,%,
9027,2014,2014,Indiana,Diabetes,Mortality with diabetic ketoacidosis reported as any listed cause of death,,86
9755,2011,2015,Nebraska,Cancer,"Cancer of the prostate, mortality",,171
9654,2018,2018,Arkansas,Cardiovascular Disease,Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years with a history of coronary heart disease,%,90.4
5575,2012,2012,Wyoming,Older Adults,Proportion of older adults aged 50-64 years who are up to date on a core set of clinical preventive services,%,15.1
1347,2015,2015,Pennsylvania,Diabetes,Influenza vaccination among noninstitutionalized adults aged 18-64 years with diagnosed diabetes,%,59.7
7018,2017,2017,Minnesota,Asthma,Influenza vaccination among noninstitutionalized adults aged 18-64 years with asthma,%,47.3
7739,2015,2015,Alabama,Overarching Conditions,Recent activity limitation among adults aged >= 18 years,Number,2.5
7384,2012,2012,Vermont,Cancer,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",%,
9951,2011,2011,West Virginia,Asthma,Asthma mortality rate,,
881,2013,2013,District of Columbia,Arthritis,Arthritis among adults aged >= 18 years who have heart disease,%,52.6
9844,2008,2012,Texas,Cancer,"Cancer of the female cervix, mortality","per 100,000",
5921,2017,2017,Oklahoma,Diabetes,Glycosylated hemoglobin measurement among adults aged >= 18 years with diagnosed diabetes,%,
9454,2016,2016,Puerto Rico,Cancer,Mammography use among women aged 50-74 years,%,
1887,2013,2013,Massachusetts,Cardiovascular Disease,Mortality from total cardiovascular diseases,"cases per 100,000",132.1
9059,2010,2010,Iowa,Diabetes,Mortality with diabetic ketoacidosis reported as any listed cause of death,"cases per 100,000",
9256,2011,2011,Maine,Chronic Obstructive Pulmonary Disease,Pneumococcal vaccination among noninstitutionalized adults aged >= 45 years with chronic obstructive pulmonary disease,%,
7955,2016,2016,South Carolina,Cancer,"Fecal occult blood test, sigmoidoscopy, or colonoscopy among adults aged 50-75 years",%,68.5
2609,2015,2015,Washington,Cardiovascular Disease,Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years with a history of coronary heart disease,%,85.0
232,2011,2015,South Carolina,Cancer,"Invasive melanoma, incidence","per 100,000",39
5718,2018,2018,New Mexico,Chronic Obstructive Pulmonary Disease,Prevalence of current smoking among adults >= 45 years with diagnosed chronic obstructive pulmonary disease,%,32.0
3372,2009,2013,Oklahoma,Cancer,"Invasive cancer (all sites combined), mortality","per 100,000",230.7
8451,2008,2012,Delaware,Cancer,"Cancer of the colon and rectum (colorectal), incidence",,230
3556,2015,2015,South Carolina,Alcohol,Binge drinking intensity among adults aged >= 18 years who binge drink,Number,
826,2013,2013,North Dakota,Chronic Obstructive Pulmonary Disease,Prevalence of chronic obstructive pulmonary disease among adults >= 18,%,4.8
6028,2012,2012,California,Chronic Obstructive Pulmonary Disease,Prevalence of current smoking among adults >= 45 years with diagnosed chronic obstructive pulmonary disease,%,
5366,2017,2017,New Mexico,"Nutrition, Physical Activity, and Weight Status",Overweight or obesity among women aged 18-44 years,%,63.2
2289,2011,2011,Nevada,Tobacco,Quit attempts in the past year among current smokers,%,58.5
3742,2012,2016,Colorado,Cancer,"Invasive cancer (all sites combined), incidence",,12329
